lui;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;0;1;1;1
auipc;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;0;1;1;1
addi;;;;;;;;;;;;;;;;;;0;0;0;;;;;;0;0;1;0;0;1;1
slti;;;;;;;;;;;;;;;;;;0;1;0;;;;;;0;0;1;0;0;1;1
sltiu;;;;;;;;;;;;;;;;;;0;1;1;;;;;;0;0;1;0;0;1;1
xori;;;;;;;;;;;;;;;;;;1;0;0;;;;;;0;0;1;0;0;1;1
ori;;;;;;;;;;;;;;;;;;1;1;0;;;;;;0;0;1;0;0;1;1
andi;;;;;;;;;;;;;;;;;;1;1;1;;;;;;0;0;1;0;0;1;1
slli;0;0;0;0;0;0;0;;;;;;;;;;;0;0;1;;;;;;0;0;1;0;0;1;1
srli;0;0;0;0;0;0;0;;;;;;;;;;;1;0;1;;;;;;0;0;1;0;0;1;1
srai;0;1;0;0;0;0;0;;;;;;;;;;;1;0;1;;;;;;0;0;1;0;0;1;1
add;0;0;0;0;0;0;0;;;;;;;;;;;0;0;0;;;;;;0;1;1;0;0;1;1
sub;0;1;0;0;0;0;0;;;;;;;;;;;0;0;0;;;;;;0;1;1;0;0;1;1
sll;0;0;0;0;0;0;0;;;;;;;;;;;0;0;1;;;;;;0;1;1;0;0;1;1
slt;0;0;0;0;0;0;0;;;;;;;;;;;0;1;0;;;;;;0;1;1;0;0;1;1
sltu;0;0;0;0;0;0;0;;;;;;;;;;;0;1;1;;;;;;0;1;1;0;0;1;1
xor;0;0;0;0;0;0;0;;;;;;;;;;;1;0;0;;;;;;0;1;1;0;0;1;1
srl;0;0;0;0;0;0;0;;;;;;;;;;;1;0;1;;;;;;0;1;1;0;0;1;1
sra;0;1;0;0;0;0;0;;;;;;;;;;;1;0;1;;;;;;0;1;1;0;0;1;1
or;0;0;0;0;0;0;0;;;;;;;;;;;1;1;0;;;;;;0;1;1;0;0;1;1
and;0;0;0;0;0;0;0;;;;;;;;;;;1;1;1;;;;;;0;1;1;0;0;1;1
fence;;;;;;;;;;;;;;;;;;0;0;0;;;;;;0;0;0;1;1;1;1
fence.tso;1;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
ecall;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1
ebreak;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1
lb;;;;;;;;;;;;;;;;;;0;0;0;;;;;;0;0;0;0;0;1;1
lh;;;;;;;;;;;;;;;;;;0;0;1;;;;;;0;0;0;0;0;1;1
lw;;;;;;;;;;;;;;;;;;0;1;0;;;;;;0;0;0;0;0;1;1
lbu;;;;;;;;;;;;;;;;;;1;0;0;;;;;;0;0;0;0;0;1;1
lhu;;;;;;;;;;;;;;;;;;1;0;1;;;;;;0;0;0;0;0;1;1
sb;;;;;;;;;;;;;;;;;;0;0;0;;;;;;0;1;0;0;0;1;1
sh;;;;;;;;;;;;;;;;;;0;0;1;;;;;;0;1;0;0;0;1;1
sw;;;;;;;;;;;;;;;;;;0;1;0;;;;;;0;1;0;0;0;1;1
jal;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;1;1;1;1
jalr;;;;;;;;;;;;;;;;;;0;0;0;;;;;;1;1;0;0;1;1;1
beq;;;;;;;;;;;;;;;;;;0;0;0;;;;;;1;1;0;0;0;1;1
bne;;;;;;;;;;;;;;;;;;0;0;1;;;;;;1;1;0;0;0;1;1
blt;;;;;;;;;;;;;;;;;;1;0;0;;;;;;1;1;0;0;0;1;1
bge;;;;;;;;;;;;;;;;;;1;0;1;;;;;;1;1;0;0;0;1;1
bltu;;;;;;;;;;;;;;;;;;1;1;0;;;;;;1;1;0;0;0;1;1
bgeu;;;;;;;;;;;;;;;;;;1;1;1;;;;;;1;1;0;0;0;1;1
pause;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
mul;0;0;0;0;0;0;1;;;;;;;;;;;0;0;0;;;;;;0;1;1;0;0;1;1
mulh;0;0;0;0;0;0;1;;;;;;;;;;;0;0;1;;;;;;0;1;1;0;0;1;1
mulhsu;0;0;0;0;0;0;1;;;;;;;;;;;0;1;0;;;;;;0;1;1;0;0;1;1
mulhu;0;0;0;0;0;0;1;;;;;;;;;;;0;1;1;;;;;;0;1;1;0;0;1;1
div;0;0;0;0;0;0;1;;;;;;;;;;;1;0;0;;;;;;0;1;1;0;0;1;1
divu;0;0;0;0;0;0;1;;;;;;;;;;;1;0;1;;;;;;0;1;1;0;0;1;1
rem;0;0;0;0;0;0;1;;;;;;;;;;;1;1;0;;;;;;0;1;1;0;0;1;1
remu;0;0;0;0;0;0;1;;;;;;;;;;;1;1;1;;;;;;0;1;1;0;0;1;1
fmadd.s;;;;;;0;0;;;;;;;;;;;;;;;;;;;1;0;0;0;0;1;1
fmsub.s;;;;;;0;0;;;;;;;;;;;;;;;;;;;1;0;0;0;1;1;1
fnmsub.s;;;;;;0;0;;;;;;;;;;;;;;;;;;;1;0;0;1;0;1;1
fnmadd.s;;;;;;0;0;;;;;;;;;;;;;;;;;;;1;0;0;1;1;1;1
fadd.s;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;1;0;1;0;0;1;1
fsub.s;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;1;0;1;0;0;1;1
fmul.s;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;1;0;1;0;0;1;1
fdiv.s;0;0;0;1;1;0;0;;;;;;;;;;;;;;;;;;;1;0;1;0;0;1;1
fsqrt.s;0;1;0;1;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;1;0;1;0;0;1;1
fsgnj.s;0;0;1;0;0;0;0;;;;;;;;;;;0;0;0;;;;;;1;0;1;0;0;1;1
fsgnjn.s;0;0;1;0;0;0;0;;;;;;;;;;;0;0;1;;;;;;1;0;1;0;0;1;1
fsgnjx.s;0;0;1;0;0;0;0;;;;;;;;;;;0;1;0;;;;;;1;0;1;0;0;1;1
fmin.s;0;0;1;0;1;0;0;;;;;;;;;;;0;0;0;;;;;;1;0;1;0;0;1;1
fmax.s;0;0;1;0;1;0;0;;;;;;;;;;;0;0;1;;;;;;1;0;1;0;0;1;1
fcvt.w.s;1;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;1;0;1;0;0;1;1
fcvt.wu.s;1;1;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;1;0;1;0;0;1;1
fmv.x.w;1;1;1;0;0;0;0;0;0;0;0;0;;;;;;0;0;0;;;;;;1;0;1;0;0;1;1
feq.s;1;0;1;0;0;0;0;;;;;;;;;;;0;1;0;;;;;;1;0;1;0;0;1;1
flt.s;1;0;1;0;0;0;0;;;;;;;;;;;0;0;1;;;;;;1;0;1;0;0;1;1
fle.s;1;0;1;0;0;0;0;;;;;;;;;;;0;0;0;;;;;;1;0;1;0;0;1;1
fclass.s;1;1;1;0;0;0;0;0;0;0;0;0;;;;;;0;0;1;;;;;;1;0;1;0;0;1;1
fcvt.s.w;1;1;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;1;0;1;0;0;1;1
fcvt.s.wu;1;1;0;1;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;1;0;1;0;0;1;1
fmv.w.x;1;1;1;1;0;0;0;0;0;0;0;0;;;;;;0;0;0;;;;;;1;0;1;0;0;1;1
flw;;;;;;;;;;;;;;;;;;0;1;0;;;;;;0;0;0;0;1;1;1
fsw;;;;;;;;;;;;;;;;;;0;1;0;;;;;;0;1;0;0;1;1;1
